stationnames,subwayCount,transferCount,tr,interchangeCount,intechangeDis,transferTime,transferDis,area,ob,ic
万寿路,11631,885,0.07608976,135.040955,146.6785943,603.344709,1908.518829,42.00045265,0.239612054,1.262660132
北土城,7859,892,0.113500445,220.439698,180.0846008,708.711055,2271.391632,48.87938861,0.474201081,1.037663825
九龙山,16037,903,0.056307289,324.509975,249.0276169,1411.123441,6530.658465,202.4843733,0.647573064,0.625054561
长阳,12146,904,0.074427795,153.61615,52.69589512,885.16261,5066.588753,184.6235428,0.66499885,0.265437181
国家图书馆,12697,917,0.072221785,199.770581,206.6095802,642.588364,2139.313698,57.14657988,0.185494539,1.27927857
天宫院,15190,930,0.06122449,289.68172,200.444385,838.156989,4273.488675,90.73994152,0.77967608,0.173798552
通州北苑,11752,941,0.080071477,401.416578,228.662888,1703.258235,6453.136369,454.4777394,0.40582349,2.295353982
大瓦窑,4077,969,0.237674761,279.297235,298.1555252,670.370967,2153.881328,11.3272492,0.740329624,1.791022811
梨园,12620,986,0.078129952,288.06288,197.1641811,566.393509,2557.93419,109.9416773,0.244671208,0.789698891
大屯路东,14206,1005,0.070744756,229.991967,151.6957162,605.393574,2258.909152,73.80410781,0.257923856,0.597353231
西苑,9142,1029,0.112557427,293.174825,132.5389881,871.77922,3224.580983,134.2380341,0.223933855,1.335156421
北苑路北,17629,1052,0.0596744,244.491444,134.0061986,603.862167,1722.167293,32.45195037,0.373997815,0.546882977
望京南,14553,1060,0.072837216,352.95566,267.1063641,1298.817924,4095.981416,101.4678459,0.48921533,0.598639456
黄村火车站,7399,1068,0.14434383,196.829107,197.7359487,761.156807,2971.279796,63.4054276,0.594364672,1.097986214
七里庄,10543,1068,0.10129944,321.828651,183.2570757,1123.744382,6709.982698,368.0201747,0.658102278,1.346675519
亮马桥,24209,1076,0.04444628,311.50887,252.0707479,777.295051,2835.05691,64.00882566,0.579897888,0.365814367
上地,18827,1092,0.058001806,220.544871,203.587955,781.806776,2060.056229,43.59650814,0.668625486,0.476549636
